	captured_length	eth_dst	eth_src	highest_layer	info_line	interface_captured	ip_dst	ip_src	length	number	project_id	sniff_timestamp	tcp_dstport	tcp_srcport	tcp_stream
0	62	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	1821→445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1		192.150.11.111	98.114.205.102	62	1	2	2009-04-20 06:28:28	445	1821	0
1	62	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1821 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1		98.114.205.102	192.150.11.111	62	2	2	2009-04-20 06:28:28	1821	445	0
2	60	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	1821 > 445 [ACK] Seq=1 Ack=1 Win=64240 Len=0		192.150.11.111	98.114.205.102	60	3	2	2009-04-20 06:28:28	445	1821	0
3	60	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	1821 > 445 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0		192.150.11.111	98.114.205.102	60	4	2	2009-04-20 06:28:28	445	1821	0
4	62	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	1828 > 445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1		192.150.11.111	98.114.205.102	62	5	2	2009-04-20 06:28:28	445	1828	1
5	62	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1828 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1		98.114.205.102	192.150.11.111	62	6	2	2009-04-20 06:28:28	1828	445	1
6	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1821 [ACK] Seq=1 Ack=2 Win=5840 Len=0		98.114.205.102	192.150.11.111	54	7	2	2009-04-20 06:28:28	1821	445	0
7	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1821 [FIN, ACK] Seq=1 Ack=2 Win=5840 Len=0		98.114.205.102	192.150.11.111	54	8	2	2009-04-20 06:28:28	1821	445	0
8	60	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	1828 > 445 [ACK] Seq=1 Ack=1 Win=64240 Len=0		192.150.11.111	98.114.205.102	60	9	2	2009-04-20 06:28:28	445	1828	1
9	191	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SMB	Negotiate Protocol Request		192.150.11.111	98.114.205.102	191	10	2	2009-04-20 06:28:28	445	1828	1
10	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1828 [ACK] Seq=1 Ack=138 Win=6432 Len=0		98.114.205.102	192.150.11.111	54	11	2	2009-04-20 06:28:28	1828	445	1
11	60	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	1821 > 445 [ACK] Seq=2 Ack=2 Win=64240 Len=0		192.150.11.111	98.114.205.102	60	12	2	2009-04-20 06:28:28	445	1821	0
12	143	00:08:e2:3b:56:01	00:30:48:62:4e:4a	SMB	Negotiate Protocol Response		98.114.205.102	192.150.11.111	143	13	2	2009-04-20 06:28:28	1828	445	1
13	222	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SMB	Session Setup AndX Request, NTLMSSP_NEGOTIATE		192.150.11.111	98.114.205.102	222	14	2	2009-04-20 06:28:28	445	1828	1
14	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1828 [ACK] Seq=90 Ack=306 Win=7504 Len=0		98.114.205.102	192.150.11.111	54	15	2	2009-04-20 06:28:28	1828	445	1
15	311	00:08:e2:3b:56:01	00:30:48:62:4e:4a	SMB	Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED		98.114.205.102	192.150.11.111	311	16	2	2009-04-20 06:28:29	1828	445	1
16	276	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SMB	Session Setup AndX Request, NTLMSSP_AUTH, User: \		192.150.11.111	98.114.205.102	276	17	2	2009-04-20 06:28:29	445	1828	1
17	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1828 [ACK] Seq=347 Ack=528 Win=8576 Len=0		98.114.205.102	192.150.11.111	54	18	2	2009-04-20 06:28:29	1828	445	1
18	175	00:08:e2:3b:56:01	00:30:48:62:4e:4a	SMB	Session Setup AndX Response		98.114.205.102	192.150.11.111	175	19	2	2009-04-20 06:28:29	1828	445	1
19	152	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SMB	Tree Connect AndX Request, Path: \\192.150.11.111\ipc$		192.150.11.111	98.114.205.102	152	20	2	2009-04-20 06:28:29	445	1828	1
20	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1828 [ACK] Seq=468 Ack=626 Win=8576 Len=0		98.114.205.102	192.150.11.111	54	21	2	2009-04-20 06:28:29	1828	445	1
21	114	00:08:e2:3b:56:01	00:30:48:62:4e:4a	SMB	Tree Connect AndX Response		98.114.205.102	192.150.11.111	114	22	2	2009-04-20 06:28:29	1828	445	1
22	158	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SMB	NT Create AndX Request, Path: \lsarpc		192.150.11.111	98.114.205.102	158	23	2	2009-04-20 06:28:29	445	1828	1
23	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1828 [ACK] Seq=528 Ack=730 Win=8576 Len=0		98.114.205.102	192.150.11.111	54	24	2	2009-04-20 06:28:29	1828	445	1
24	193	00:08:e2:3b:56:01	00:30:48:62:4e:4a	SMB	NT Create AndX Response, FID: 0x4000		98.114.205.102	192.150.11.111	193	25	2	2009-04-20 06:28:29	1828	445	1
25	214	00:30:48:62:4e:4a	00:08:e2:3b:56:01	DCERPC	Bind: call_id: 1, Fragment: Single, 1 context items: DSSETUP V0.0 (32bit NDR)		192.150.11.111	98.114.205.102	214	26	2	2009-04-20 06:28:29	445	1828	1
26	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1828 [ACK] Seq=667 Ack=890 Win=9648 Len=0		98.114.205.102	192.150.11.111	54	27	2	2009-04-20 06:28:29	1828	445	1
27	182	00:08:e2:3b:56:01	00:30:48:62:4e:4a	DCERPC	Bind_ack: call_id: 1, Fragment: Single, max_xmit: 4280 max_recv: 4280, 1 results: Acceptance		98.114.205.102	192.150.11.111	182	28	2	2009-04-20 06:28:30	1828	445	1
