project_id,session_id,action_count,completion_time,use_react,is_first
1,639,6,00:25:18,1,1
4,640,11,00:17:36,0,0
4,657,11,00:15:45,0,1
1,658,6,00:07:35,1,0
1,618,7,00:03:59,0,1
4,619,6,00:08:17,1,0
1,573,16,00:17:43,0,1
4,574,6,00:07:39,1,0
1,623,10,00:14:42,0,1
4,625,6,00:16:18,1,0
1,622,27,00:23:36,0,1
4,624,8,00:10:57,1,0
1,628,8,00:16:08,1,1
4,629,16,00:23:07,0,0
4,607,8,00:16:26,0,1
1,611,5,00:07:04,1,0
1,595,8,00:14:06,1,1
4,596,7,00:10:20,0,0
4,636,10,00:25:35,0,1
1,637,6,00:09:43,1,0
4,654,16,00:18:27,0,1
1,655,6,00:05:24,1,0
1,650,12,00:13:48,0,1
4,652,5,00:10:29,1,0
4,600,7,00:13:55,1,1
1,606,15,00:19:06,0,0
1,608,9,00:13:39,0,0
4,656,8,00:05:31,1,1
4,605,6,00:08:03,1,1
1,609,10,00:12:54,0,0
1,577,6,00:10:45,1,0
4,580,11,00:07:17,0,1
4,592,5,00:03:41,0,1
1,593,6,00:06:12,1,0
4,584,5,00:07:11,1,1
1,585,8,00:25:52,0,0
1,645,6,00:11:57,1,1
4,648,11,00:12:05,0,0
4,615,5,00:07:57,1,1
1,616,13,00:10:47,0,0
