	packet_number	captured_length	eth_dst	eth_src	highest_layer	info_line	interface_captured	ip_dst	ip_src	length	number	project_id	sniff_timestamp	tcp_dstport	tcp_srcport	tcp_stream
0	0	66	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	TCP	8888?34374 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=6446 TSecr=159921662		192.168.1.1	192.168.1.122	66	1	1	2013-06-02 10:19:14	34374.0	8888.0	0.0
1	1	74	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=256/1, ttl=128		1.2.3.4	192.168.1.122	74	2	1	2013-06-02 10:19:15			
2	2	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=512/2, ttl=128		82.108.24.168	192.168.1.122	75	3	1	2013-06-02 10:19:19			
3	3	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=768/3, ttl=128		82.108.25.192	192.168.1.122	75	4	1	2013-06-02 10:19:19			
4	4	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=1024/4, ttl=128		82.108.6.189	192.168.1.122	75	5	1	2013-06-02 10:19:19			
5	5	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=1280/5, ttl=128		82.108.84.10	192.168.1.122	75	6	1	2013-06-02 10:19:19			
6	6	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=1536/6, ttl=128		82.108.255.172	192.168.1.122	75	7	1	2013-06-02 10:19:19			
7	7	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=1792/7, ttl=128		82.108.62.158	192.168.1.122	75	8	1	2013-06-02 10:19:19			
8	8	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=2048/8, ttl=128		82.108.28.12	192.168.1.122	75	9	1	2013-06-02 10:19:19			
9	9	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=2304/9, ttl=128		82.108.213.181	192.168.1.122	75	10	1	2013-06-02 10:19:19			
10	10	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=2560/10, ttl=128		82.108.189.213	192.168.1.122	75	11	1	2013-06-02 10:19:19			
11	11	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=2816/11, ttl=128		82.108.132.39	192.168.1.122	75	12	1	2013-06-02 10:19:19			
